date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,longest_series,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_regime_13mar2020,sample_avg,day_avg,p_1,p_2
"2020-03-21","IRN","Mazandaran",1,1,1,1,1,1,1,0,1645,1684,3283582,21mar2020,6,3,2020,21,"Mazandaran",0,7.405496,.0171676,0,,,1,1
"2020-03-22","IRN","Mazandaran",1,1,1,1,1,1,1,0,1681,1720,3283582,22mar2020,0,3,2020,22,"Mazandaran",0,7.427144,.0216484,0,,,1,1
"2020-02-27","IRN","North Khorasan",0,0,1,1,0,0,0,0,,0,863092,27feb2020,4,2,2020,27,"North Khorasan",0,,,0,.1647312,,0,0
"2020-02-28","IRN","North Khorasan",0,0,1,1,0,0,0,0,,0,863092,28feb2020,5,2,2020,28,"North Khorasan",0,,,0,.1647312,,0,0
"2020-02-29","IRN","North Khorasan",0,0,1,1,0,0,0,0,,0,863092,29feb2020,6,2,2020,29,"North Khorasan",0,,,0,.1647312,,0,0
"2020-03-01","IRN","North Khorasan",0,1,1,1,0,0,0,0,,0,863092,01mar2020,0,3,2020,1,"North Khorasan",0,,,0,.1647312,,.3333333,0
"2020-03-02","IRN","North Khorasan",0,1,1,1,0,0,0,0,,0,863092,02mar2020,1,3,2020,2,"North Khorasan",0,,,0,.1647312,,.3333333,0
"2020-03-03","IRN","North Khorasan",0,1,1,1,1,0,0,0,,0,863092,03mar2020,2,3,2020,3,"North Khorasan",0,,,0,.1647312,,.6666667,0
"2020-03-04","IRN","North Khorasan",0,1,1,1,1,0,0,0,,1,863092,04mar2020,3,3,2020,4,"North Khorasan",0,,,0,.1647312,,.6666667,0
"2020-03-05","IRN","North Khorasan",1,1,1,1,1,0,0,0,,3,863092,05mar2020,4,3,2020,5,"North Khorasan",0,,,0,.1647312,,1,0
"2020-03-06","IRN","North Khorasan",1,1,1,1,1,0,0,0,15,15,863092,06mar2020,5,3,2020,6,"North Khorasan",0,2.70805,,0,.1647312,,1,0
"2020-03-07","IRN","North Khorasan",1,1,1,1,1,0,0,0,23,23,863092,07mar2020,6,3,2020,7,"North Khorasan",0,3.135494,.427444,0,,,1,0
"2020-03-08","IRN","North Khorasan",1,1,1,1,1,0,0,0,24,24,863092,08mar2020,0,3,2020,8,"North Khorasan",0,3.178054,.0425596,0,,,1,0
"2020-03-09","IRN","North Khorasan",1,1,1,1,1,0,0,0,34,34,863092,09mar2020,1,3,2020,9,"North Khorasan",0,3.526361,.3483067,0,,,1,0
"2020-03-10","IRN","North Khorasan",1,1,1,1,1,0,0,0,34,34,863092,10mar2020,2,3,2020,10,"North Khorasan",0,3.526361,0,0,,,1,0
"2020-03-11","IRN","North Khorasan",1,1,1,1,1,0,0,0,45,45,863092,11mar2020,3,3,2020,11,"North Khorasan",0,3.806663,.280302,0,,,1,0
"2020-03-12","IRN","North Khorasan",1,1,1,1,1,0,0,0,45,45,863092,12mar2020,4,3,2020,12,"North Khorasan",0,3.806663,0,0,,,1,0
"2020-03-13","IRN","North Khorasan",1,1,1,1,1,1,1,0,45,45,863092,13mar2020,5,3,2020,13,"North Khorasan",0,3.806663,0,1,,,1,1
"2020-03-14","IRN","North Khorasan",1,1,1,1,1,1,1,0,46,46,863092,14mar2020,6,3,2020,14,"North Khorasan",0,3.828641,.0219789,0,,,1,1
"2020-03-15","IRN","North Khorasan",1,1,1,1,1,1,1,0,52,52,863092,15mar2020,0,3,2020,15,"North Khorasan",0,3.951244,.1226022,0,,,1,1
"2020-03-16","IRN","North Khorasan",1,1,1,1,1,1,1,0,97,97,863092,16mar2020,1,3,2020,16,"North Khorasan",0,4.574711,.6234672,0,,,1,1
"2020-03-17","IRN","North Khorasan",1,1,1,1,1,1,1,0,100,100,863092,17mar2020,2,3,2020,17,"North Khorasan",0,4.60517,.0304594,0,,,1,1
"2020-03-18","IRN","North Khorasan",1,1,1,1,1,1,1,0,100,100,863092,18mar2020,3,3,2020,18,"North Khorasan",0,4.60517,0,0,,,1,1
"2020-03-19","IRN","North Khorasan",1,1,1,1,1,1,1,0,121,121,863092,19mar2020,4,3,2020,19,"North Khorasan",0,4.795791,.1906204,0,,,1,1
"2020-03-20","IRN","North Khorasan",1,1,1,1,1,1,1,0,138,138,863092,20mar2020,5,3,2020,20,"North Khorasan",0,4.927254,.1314631,0,,,1,1
"2020-03-21","IRN","North Khorasan",1,1,1,1,1,1,1,0,139,139,863092,21mar2020,6,3,2020,21,"North Khorasan",0,4.934474,.0072203,0,,,1,1
"2020-03-22","IRN","North Khorasan",1,1,1,1,1,1,1,0,165,165,863092,22mar2020,0,3,2020,22,"North Khorasan",0,5.105946,.1714716,0,,,1,1
"2020-02-27","IRN","Qazvin",1,0,1,1,0,0,0,0,,0,1273761,27feb2020,4,2,2020,27,"Qazvin",0,,,0,.1647312,,.3333333,0
"2020-02-28","IRN","Qazvin",1,0,1,1,0,0,0,0,,2,1273761,28feb2020,5,2,2020,28,"Qazvin",0,,,0,.1647312,,.3333333,0
"2020-02-29","IRN","Qazvin",1,0,1,1,0,0,0,0,,8,1273761,29feb2020,6,2,2020,29,"Qazvin",0,,,0,.1647312,,.3333333,0
"2020-03-01","IRN","Qazvin",1,1,1,1,0,0,0,0,,8,1273761,01mar2020,0,3,2020,1,"Qazvin",0,,,0,.1647312,,.6666667,0
"2020-03-02","IRN","Qazvin",1,1,1,1,0,0,0,0,,8,1273761,02mar2020,1,3,2020,2,"Qazvin",0,,,0,.1647312,,.6666667,0
"2020-03-03","IRN","Qazvin",1,1,1,1,1,0,0,0,,8,1273761,03mar2020,2,3,2020,3,"Qazvin",0,,,0,.1647312,,1,0
"2020-03-04","IRN","Qazvin",1,1,1,1,1,0,0,0,33,33,1273761,04mar2020,3,3,2020,4,"Qazvin",0,3.496508,,0,.1647312,,1,0
"2020-03-05","IRN","Qazvin",1,1,1,1,1,0,0,0,64,64,1273761,05mar2020,4,3,2020,5,"Qazvin",0,4.158883,.6623755,0,,,1,0
"2020-03-06","IRN","Qazvin",1,1,1,1,1,0,0,0,129,129,1273761,06mar2020,5,3,2020,6,"Qazvin",0,4.859812,.7009292,0,,,1,0
"2020-03-07","IRN","Qazvin",1,1,1,1,1,0,0,0,131,131,1273761,07mar2020,6,3,2020,7,"Qazvin",0,4.875197,.0153852,0,,,1,0
"2020-03-08","IRN","Qazvin",1,1,1,1,1,0,0,0,160,160,1273761,08mar2020,0,3,2020,8,"Qazvin",0,5.075174,.1999764,0,,,1,0
"2020-03-09","IRN","Qazvin",1,1,1,1,1,0,0,0,200,200,1273761,09mar2020,1,3,2020,9,"Qazvin",0,5.298317,.2231436,0,,,1,0
"2020-03-10","IRN","Qazvin",1,1,1,1,1,0,0,0,210,210,1273761,10mar2020,2,3,2020,10,"Qazvin",0,5.347107,.04879,0,,,1,0
"2020-03-11","IRN","Qazvin",1,1,1,1,1,0,0,0,237,237,1273761,11mar2020,3,3,2020,11,"Qazvin",0,5.46806,.1209526,0,,,1,0
"2020-03-12","IRN","Qazvin",1,1,1,1,1,0,0,0,279,279,1273761,12mar2020,4,3,2020,12,"Qazvin",0,5.631212,.1631517,0,,,1,0
"2020-03-13","IRN","Qazvin",1,1,1,1,1,1,1,0,291,291,1273761,13mar2020,5,3,2020,13,"Qazvin",0,5.673323,.0421114,1,,,1,1
"2020-03-14","IRN","Qazvin",1,1,1,1,1,1,1,0,338,338,1273761,14mar2020,6,3,2020,14,"Qazvin",0,5.823046,.1497226,0,,,1,1
"2020-03-15","IRN","Qazvin",1,1,1,1,1,1,1,0,360,360,1273761,15mar2020,0,3,2020,15,"Qazvin",0,5.886104,.0630584,0,,,1,1
"2020-03-16","IRN","Qazvin",1,1,1,1,1,1,1,0,400,400,1273761,16mar2020,1,3,2020,16,"Qazvin",0,5.991465,.1053605,0,,,1,1
"2020-03-17","IRN","Qazvin",1,1,1,1,1,1,1,0,426,426,1273761,17mar2020,2,3,2020,17,"Qazvin",0,6.05444,.0629749,0,,,1,1
"2020-03-18","IRN","Qazvin",1,1,1,1,1,1,1,0,479,479,1273761,18mar2020,3,3,2020,18,"Qazvin",0,6.1717,.1172609,0,,,1,1
"2020-03-19","IRN","Qazvin",1,1,1,1,1,1,1,0,526,526,1273761,19mar2020,4,3,2020,19,"Qazvin",0,6.265301,.0936007,0,,,1,1
"2020-03-20","IRN","Qazvin",1,1,1,1,1,1,1,0,534,534,1273761,20mar2020,5,3,2020,20,"Qazvin",0,6.280396,.0150948,0,,,1,1
"2020-03-21","IRN","Qazvin",1,1,1,1,1,1,1,0,593,593,1273761,21mar2020,6,3,2020,21,"Qazvin",0,6.385194,.1047983,0,,,1,1
"2020-03-22","IRN","Qazvin",1,1,1,1,1,1,1,0,622,622,1273761,22mar2020,0,3,2020,22,"Qazvin",0,6.43294,.0477457,0,,,1,1
"2020-02-27","IRN","Qom",1,1,1,1,0,0,0,0,72,72,1292283,27feb2020,4,2,2020,27,"Qom",0,4.276666,,0,.1647312,,.6666667,0
"2020-02-28","IRN","Qom",1,1,1,1,0,0,0,0,88,88,1292283,28feb2020,5,2,2020,28,"Qom",0,4.477337,.2006707,0,,,.6666667,0
"2020-02-29","IRN","Qom",1,1,1,1,0,0,0,0,109,109,1292283,29feb2020,6,2,2020,29,"Qom",0,4.691348,.2140112,0,,,.6666667,0
"2020-03-01","IRN","Qom",1,1,1,1,0,0,0,0,139,139,1292283,01mar2020,0,3,2020,1,"Qom",0,4.934474,.2431259,0,,,.6666667,0
"2020-03-02","IRN","Qom",1,1,1,1,0,0,0,0,,180,1292283,02mar2020,1,3,2020,2,"Qom",0,,,0,.1647312,,.6666667,0
"2020-03-03","IRN","Qom",1,1,1,1,1,0,0,0,,245,1292283,03mar2020,2,3,2020,3,"Qom",0,,,0,.1647312,,1,0
"2020-03-04","IRN","Qom",1,1,1,1,1,0,0,0,240,346,1292283,04mar2020,3,3,2020,4,"Qom",0,5.480639,,0,.1647312,,1,0
"2020-03-05","IRN","Qom",1,1,1,1,1,0,0,0,272,378,1292283,05mar2020,4,3,2020,5,"Qom",0,5.605802,.1251631,0,,,1,0
"2020-03-06","IRN","Qom",1,1,1,1,1,1,0,0,409,515,1292283,06mar2020,5,3,2020,6,"Qom",0,6.013715,.4079132,0,,,1,0
"2020-03-07","IRN","Qom",1,1,1,1,1,1,0,0,554,660,1292283,07mar2020,6,3,2020,7,"Qom",0,6.317165,.3034496,0,,,1,0
"2020-03-08","IRN","Qom",1,1,1,1,1,1,0,0,571,677,1292283,08mar2020,0,3,2020,8,"Qom",0,6.347389,.0302243,0,,,1,0
"2020-03-09","IRN","Qom",1,1,1,1,1,1,0,0,598,704,1292283,09mar2020,1,3,2020,9,"Qom",0,6.393591,.0462017,0,,,1,0
