date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population
2020-02-25,IRN,Alborz,1,0,1,1,0,0,0,0,2.0,2,2712400.0
2020-02-25,IRN,Ardebil,1,0,1,1,0,0,0,0,0.0,0,1270420.0
2020-02-25,IRN,Bushehr,0,0,1,1,0,0,0,0,0.0,0,1163400.0
2020-02-25,IRN,Chahar Mahall and Bakhtiari,0,0,1,1,0,0,0,0,0.0,0,947763.0
2020-02-25,IRN,East Azarbaijan,0,0,1,1,0,0,0,0,0.0,0,3909652.0
2020-02-25,IRN,Esfahan,0,0,1,1,0,0,0,0,2.0,2,5120850.0
2020-02-25,IRN,Fars,0,0,1,1,0,0,0,0,1.0,1,4851274.0
2020-02-25,IRN,Gilan,1,0,1,1,0,0,0,0,8.0,8,2530696.0
2020-02-25,IRN,Golestan,1,0,1,1,0,0,0,0,0.0,0,1868819.0
2020-02-25,IRN,Hamadan,1,0,1,1,0,0,0,0,1.0,1,1738234.0
2020-02-25,IRN,Hormozgan,0,0,1,1,0,0,0,0,1.0,1,1776415.0
2020-02-25,IRN,Ilam,0,0,1,1,0,0,0,0,0.0,0,580158.0
2020-02-25,IRN,Kerman,0,0,1,1,0,0,0,0,0.0,0,3164718.0
2020-02-25,IRN,Kermanshah,1,0,1,1,0,0,0,0,0.0,0,1952434.0
2020-02-25,IRN,Khuzestan,0,0,1,1,0,0,0,0,0.0,0,4710509.0
2020-02-25,IRN,Kohgiluyeh and Buyer Ahmad,0,0,1,1,0,0,0,0,0.0,0,713052.0
2020-02-25,IRN,Kordestan,1,0,1,1,0,0,0,0,0.0,0,1603011.0
2020-02-25,IRN,Lorestan,0,0,1,1,0,0,0,0,0.0,0,1760649.0
2020-02-25,IRN,Markazi,1,0,1,1,0,0,0,0,4.0,4,1429475.0
2020-02-25,IRN,Mazandaran,1,0,1,1,0,0,0,0,3.0,3,3283582.0
2020-02-25,IRN,North Khorasan,0,0,1,1,0,0,0,0,0.0,0,863092.0
2020-02-25,IRN,Qazvin,1,0,1,1,0,0,0,0,0.0,0,1273761.0
