gamma,policy,sample,sigma,S_min,coefficient,coefficient_true,LHS,pop
0.05000,Intercept,75,inf,0.99997,0.38644,0.40000,I,100000000
0.05000,Intercept,76,0.20000,0.99997,0.44897,0.40000,I,100000000
0.05000,Intercept,76,0.33000,0.99997,0.39517,0.40000,I,100000000
0.05000,Intercept,76,0.50000,0.99997,0.36895,0.40000,I,100000000
0.05000,Intercept,76,inf,0.99996,0.41389,0.40000,I,100000000
0.05000,Intercept,77,0.20000,0.99998,0.46363,0.40000,I,100000000
0.05000,Intercept,77,0.33000,0.99998,0.42483,0.40000,I,100000000
0.05000,Intercept,77,0.50000,0.99997,0.40471,0.40000,I,100000000
0.05000,Intercept,77,inf,0.99995,0.36933,0.40000,I,100000000
0.05000,Intercept,78,0.20000,0.99995,0.41958,0.40000,I,100000000
0.05000,Intercept,78,0.33000,0.99995,0.44277,0.40000,I,100000000
0.05000,Intercept,78,0.50000,0.99994,0.44635,0.40000,I,100000000
0.05000,Intercept,78,inf,0.99991,0.41181,0.40000,I,100000000
0.05000,Intercept,79,0.20000,0.99991,0.41380,0.40000,I,100000000
0.05000,Intercept,79,0.33000,0.99994,0.39161,0.40000,I,100000000
0.05000,Intercept,79,0.50000,0.99988,0.37384,0.40000,I,100000000
0.05000,Intercept,79,inf,0.99992,0.40314,0.40000,I,100000000
0.05000,Intercept,80,0.20000,0.99998,0.33089,0.40000,I,100000000
0.05000,Intercept,80,0.33000,0.99998,0.34638,0.40000,I,100000000
0.05000,Intercept,80,0.50000,0.99997,0.33806,0.40000,I,100000000
0.05000,Intercept,80,inf,0.99997,0.36462,0.40000,I,100000000
0.05000,Intercept,81,0.20000,0.99992,0.40883,0.40000,I,100000000
0.05000,Intercept,81,0.33000,0.99994,0.38915,0.40000,I,100000000
0.05000,Intercept,81,0.50000,0.99989,0.39664,0.40000,I,100000000
0.05000,Intercept,81,inf,0.99990,0.35786,0.40000,I,100000000
0.05000,Intercept,82,0.20000,0.99999,0.33895,0.40000,I,100000000
0.05000,Intercept,82,0.33000,0.99999,0.45788,0.40000,I,100000000
0.05000,Intercept,82,0.50000,0.99999,0.38179,0.40000,I,100000000
0.05000,Intercept,82,inf,0.99998,0.40265,0.40000,I,100000000
0.05000,Intercept,83,0.20000,0.99999,0.36967,0.40000,I,100000000
0.05000,Intercept,83,0.33000,0.99998,0.40649,0.40000,I,100000000
0.05000,Intercept,83,0.50000,0.99999,0.42688,0.40000,I,100000000
0.05000,Intercept,83,inf,0.99997,0.44220,0.40000,I,100000000
0.05000,Intercept,84,0.20000,1.00000,0.41588,0.40000,I,100000000
0.05000,Intercept,84,0.33000,0.99999,0.28200,0.40000,I,100000000
0.05000,Intercept,84,0.50000,0.99999,0.37227,0.40000,I,100000000
0.05000,Intercept,84,inf,0.99999,0.39597,0.40000,I,100000000
0.05000,Intercept,85,0.20000,0.99999,0.34090,0.40000,I,100000000
0.05000,Intercept,85,0.33000,0.99999,0.31384,0.40000,I,100000000
0.05000,Intercept,85,0.50000,0.99999,0.38196,0.40000,I,100000000
0.05000,Intercept,85,inf,0.99992,0.45443,0.40000,I,100000000
0.05000,Intercept,86,0.20000,0.99996,0.45929,0.40000,I,100000000
0.05000,Intercept,86,0.33000,0.99994,0.39835,0.40000,I,100000000
0.05000,Intercept,86,0.50000,0.99995,0.46329,0.40000,I,100000000
0.05000,Intercept,86,inf,0.99992,0.36119,0.40000,I,100000000
0.05000,Intercept,87,0.20000,0.99998,0.48182,0.40000,I,100000000
0.05000,Intercept,87,0.33000,0.99998,0.30957,0.40000,I,100000000
0.05000,Intercept,87,0.50000,0.99998,0.37395,0.40000,I,100000000
0.05000,Intercept,87,inf,0.99999,0.45343,0.40000,I,100000000
0.05000,Intercept,88,0.20000,0.99997,0.41702,0.40000,I,100000000
0.05000,Intercept,88,0.33000,0.99998,0.39898,0.40000,I,100000000
0.05000,Intercept,88,0.50000,0.99998,0.39089,0.40000,I,100000000
0.05000,Intercept,88,inf,0.99997,0.38919,0.40000,I,100000000
0.05000,Intercept,89,0.20000,0.99998,0.41109,0.40000,I,100000000
0.05000,Intercept,89,0.33000,0.99998,0.43433,0.40000,I,100000000
0.05000,Intercept,89,0.50000,0.99998,0.41838,0.40000,I,100000000
0.05000,Intercept,89,inf,0.99996,0.33153,0.40000,I,100000000
0.05000,Intercept,90,0.20000,0.99994,0.32896,0.40000,I,100000000
0.05000,Intercept,90,0.33000,0.99994,0.37341,0.40000,I,100000000
0.05000,Intercept,90,0.50000,0.99990,0.38143,0.40000,I,100000000
