t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter2,ub_counter2,m_y_actual,m_y_counter,day_avg
26feb2020,.0050249,0,.0480559,.3356436,.3005547,.3707324,,,
27feb2020,.0050249,0,.0480559,.3356436,.3005547,.3707324,,,
28feb2020,.0050249,0,.0480559,.3356436,.3005547,.3707324,,,
29feb2020,0,0,.0421714,.3356436,.3005547,.3707324,,,
01mar2020,0,0,.0421714,.3356436,.3005547,.3707324,,,
02mar2020,0,0,.0421714,.3356436,.3005547,.3707324,,,
29jan2020,.2785316,.2239883,.333075,.3197274,.2846385,.3548162,,,
30jan2020,.2785316,.2239883,.333075,.3197274,.2846385,.3548162,,,
01feb2020,.2785316,.2239883,.333075,.3197274,.2846385,.3548162,,,
02feb2020,.2785316,.2239883,.333075,.3197274,.2846385,.3548162,,,
07feb2020,.0616589,.0100413,.1132766,.3197274,.2846385,.3548162,,,
08feb2020,.0616589,.0100413,.1132766,.3197274,.2846385,.3548162,,,
09feb2020,.0616589,.0100413,.1132766,.3197274,.2846385,.3548162,,,
10feb2020,.0616589,.0100413,.1132766,.3197274,.2846385,.3548162,,,
11feb2020,.0366445,0,.0851551,.3197274,.2846385,.3548162,,,
12feb2020,.0366445,0,.0851551,.3197274,.2846385,.3548162,,,
13feb2020,.0345028,0,.0806988,.3175857,.2819117,.3532597,,,
14feb2020,0,0,.0435952,.3197274,.2846385,.3548162,,,
15feb2020,0,0,.0435952,.3197274,.2846385,.3548162,,,
16feb2020,0,0,.0435952,.3197274,.2846385,.3548162,,,
17feb2020,0,0,.0435952,.3197274,.2846385,.3548162,,,
18feb2020,.0079959,0,.0506979,.3197274,.2846385,.3548162,,,
19feb2020,.0079959,0,.0506979,.3197274,.2846385,.3548162,,,
20feb2020,0,0,.0426913,.3117073,.276634,.3467805,,,
21feb2020,0,0,.0333817,.3197274,.2846385,.3548162,,,
22feb2020,0,0,.0333817,.3197274,.2846385,.3548162,,,
23feb2020,0,0,.0333817,.3197274,.2846385,.3548162,,,
24feb2020,0,0,.0333817,.3197274,.2846385,.3548162,,,
25feb2020,0,0,.0321397,.3197274,.2846385,.3548162,,,
26feb2020,0,0,.0321397,.3197274,.2846385,.3548162,,,
27feb2020,0,0,.0321397,.3197274,.2846385,.3548162,,,
28feb2020,0,0,.0262552,.3197274,.2846385,.3548162,,,
29feb2020,0,0,.0262552,.3197274,.2846385,.3548162,,,
01mar2020,0,0,.0262552,.3197274,.2846385,.3548162,,,
02mar2020,0,0,.0262552,.3197274,.2846385,.3548162,,,
03mar2020,0,0,.0262552,.3197274,.2846385,.3548162,,,
04mar2020,0,0,.0262552,.3197274,.2846385,.3548162,,,
