adm0_name,adm1_name,adm2_name,policy,policy_description,date_start,date_end,optional,source,access_date,notes,implied_policy
CHN,Shaanxi,Xi'an,home_isolation,"1 district first, then 2 others on Feb 4, 2 more on Feb 5",02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Henan,Xinyang,home_isolation,"closed management announced Feb 2 but lots of people still traveling from Wuhan, urban poor resume work on March 8 but seems like some workers returned as early as Feb 23 or 26",02/02/2020,03/08/2020,N,http://news.stcn.com/2020/0210/15633808.shtml; http://finance.eastmoney.com/a/202002061374896985.html; http://china.qianlong.com/2020/0315/3844379.shtml; http://finance.eastmoney.com/a/202002241394722886.html,3/17/2020,,False
CHN,Guangxi,Yulin,home_isolation,"1 district, Yuzhou",02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Guangxi,Guigang,home_isolation,in urban districts only,02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Guangxi,Fangchenggang,travel_ban_local,,02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Zhejiang,Wenzhou,travel_ban_local,,02/02/2020,02/20/2020,N,https://www.reuters.com/article/us-china-health-wenzhou/chinas-wenzhou-city-to-re-open-entrances-and-exits-of-highways-after-coronavirus-lockdown-government-statement-idUSKBN20E1ZC,3/16/2020,,False
CHN,Guangxi,Fangchenggang,home_isolation,,02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Jiangsu,Huai'an,home_isolation,,02/03/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Jiangsu,Wuxi,home_isolation,Just Jiangyin,02/03/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Jiangsu,Huai'an,travel_ban_local,,02/03/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Jiangsu,Wuxi,travel_ban_local,Just Jiangyin,02/03/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Shandong,Linyi,travel_ban_local,,02/04/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Heilongjiang,Harbin,travel_ban_local,,02/04/2020,,N,https://www.soundofhope.org/post/339913,3/15/2020,,True
CHN,Henan,Nanyang,travel_ban_local,,02/04/2020,,N,http://www.asahi.com/ajw/articles/13105716,3/17/2020,,True
CHN,Henan,Zhengzhou,travel_ban_local,,02/04/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Henan,Zhumadian,travel_ban_local,"only one person from each household allowed to go outside once every five days; 1 district, Yicheng",02/04/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Jiangsu,Changzhou,travel_ban_local,,02/04/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Jiangsu,Nanjing,travel_ban_local,,02/04/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Jiangsu,Nantong,travel_ban_local,,02/04/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Jiangsu,Taizhou,travel_ban_local,"1 district, Jiangyan",02/04/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Jiangsu,Xuzhou,travel_ban_local,,02/04/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Jiangsu,Zhenjiang,travel_ban_local,,02/04/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Jiangxi,Jingdezhen,travel_ban_local,"only one person from each household allowed to go outside once every two days, except for medical reasons or to work at shops or pharmacies",02/04/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Fujian,Fuzhou,travel_ban_local,"only one person from each household allowed to go outside once every two days, except for medical reasons or to work at shops or pharmacies",02/04/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Zhejiang,Hangzhou,home_isolation,"only one person from each household allowed to go outside once every two days, except for medical reasons or to work at shops or pharmacies",02/04/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Zhejiang,Taizhou,travel_ban_local,,02/04/2020,,N,https://www.channelnewsasia.com/news/asia/hangzhou-and-taizhou-cities-far-from-virus-epicentre-implement-12388714,3/16/2020,,False
CHN,Zhejiang,Taizhou,home_isolation,,02/04/2020,,N,https://www.aljazeera.com/news/2020/02/china-admits-shortcomings-coronavirus-death-toll-hits-425-200203234036932.html,3/15/2020,,False
