country,adm0_name,adm1_name,adm2_name,date,susceptible_individuals_no_policy,infectious_individuals_no_policy,recovered_individuals_no_policy,share_of_susceptible_individuals_no_policy,cum_confirmed_cases_no_policy,cum_infections_no_policy,susceptible_individuals_with_policy,infectious_individuals_with_policy,recovered_individuals_with_policy,share_of_susceptible_individuals_with_policy,cum_confirmed_cases_with_policy,cum_infections_with_policy,cases_saved,infections_saved
italy,ITA,Campania,Salerno,2020-03-13,1095953.6363529426,2120.2481873064407,439.11545975110494,0.9976701562502607,106.73656693585593,2482.2457426943242,1097321.920336776,943.5557863347397,247.52387688937597,0.9989157345764464,50.46677035021244,1173.645822097964,56.26979658564349,1308.5999205963603
italy,ITA,Campania,Salerno,2020-03-14,1094821.5916786112,3023.8107790129015,667.5975423757918,0.9966396316462447,153.7561219368875,3575.723765974128,1097058.3498612065,1124.0608492837061,330.5892895096913,0.9986758007062333,61.58709921883509,1432.2581213682581,92.1690227180524,2143.46564460587
italy,ITA,Campania,Salerno,2020-03-15,1093039.7434839557,4464.807431588832,1008.4490844553802,0.9950175769280434,227.54789211228035,5291.811444471637,1096692.7276175155,1387.1933879703454,433.0789945141878,0.9983429669175654,76.96443231939055,1789.8705190555945,150.5834597928898,3501.940925416042
italy,ITA,Campania,Salerno,2020-03-16,1090707.143967286,6320.728904447839,1485.1271282662638,0.9928941614412264,324.49347531331046,7546.3598910072205,1096316.2062467572,1642.316161955655,554.4775912871119,0.9980002114192159,92.8592591192814,2159.517653936777,231.63421619402905,5386.842237070443
italy,ITA,Campania,Salerno,2020-03-17,1087388.819196441,8962.816747067725,2161.364056491293,0.9898734190641721,462.38782396827054,10753.205208564432,1095864.9731914038,1949.4651792228085,698.5616293733474,0.9975894442682096,111.90349592881137,2602.4068820653806,350.48432803945917,8150.798326499051
italy,ITA,Campania,Salerno,2020-03-18,1082609.5873631183,12776.66704552893,3126.7455913526937,0.9855227815812087,660.9017956532219,15369.80920123772,1095312.546974691,2329.747937890008,870.7050874189008,0.9970865588069427,135.2043131146428,3144.286351503321,525.6974825385792,12225.5228497344
italy,ITA,Campania,Salerno,2020-03-19,1075535.0032040467,18451.897236399116,4526.099559554132,0.9790826355300727,954.433663037699,22196.13169855114,1094606.2207420832,2827.232023442265,1079.5472344746813,0.9964435748526264,164.9554471408562,3836.1731893222372,789.4782158968428,18359.9585092289
italy,ITA,Campania,Salerno,2020-03-20,1065590.5848206363,26399.396513340802,6523.018666022923,0.9700300176881259,1367.367313246336,31799.23984293805,1093772.239098608,3409.3546468948693,1331.4062544971239,0.9956843834334305,200.10343806187657,4653.568327020385,1167.2638751844593,27145.671515917664
italy,ITA,Campania,Salerno,2020-03-21,1052062.7508483198,37130.90801459813,9319.341137082083,0.957715339598457,1929.9167331038595,44881.78449078743,1092823.6935012944,4058.0087626106765,1631.2977360950317,0.9948209019841316,240.1268143675511,5584.344520175608,1689.7899187363084,39297.43997061183
italy,ITA,Campania,Salerno,2020-03-22,1031454.0688682899,53667.2511259523,13391.68000575772,0.9389548133415717,2784.9454228437344,64766.1726242729,1092123.5580896102,4427.2001574141605,1962.2417529756203,0.9941835536671939,269.91380016604154,6277.065120140502,2515.0316226776927,58489.10750413239
