date,adm0_name,adm1_id,adm1_name,lat,lon,cum_hospitalized_symptom,cum_intensive_care,cum_hospitalized,cum_home_confinement,active_cases,active_cases_new,cum_recoveries,cum_deaths,cum_confirmed_cases,cum_tests,cum_hospitalized_symptom_imputed,cum_intensive_care_imputed,cum_hospitalized_imputed,cum_home_confinement_imputed,cum_recoveries_imputed,cum_deaths_imputed,cum_confirmed_cases_imputed,cum_tests_imputed
2020-02-28,ITA,19,Sicilia,38.1156972,13.3623567,1.0000000,0.0000000,1.0000000,1.0000000,2,0,2.0000000,0.0000000,4.0000000,5.0000000,1,0,1,1,2,0,4,5
2020-02-28,ITA,9,Toscana,43.7692308,11.2558888,5.0000000,0.0000000,5.0000000,2.0000000,7,5,1.0000000,0.0000000,8.0000000,437.0000000,5,0,5,2,1,0,8,437
2020-02-28,ITA,4,P.A. Trento,46.0689351,11.1212310,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,32.0000000,0,0,0,0,0,0,0,32
2020-02-28,ITA,10,Umbria,43.1067584,12.3882470,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,8.0000000,0,0,0,0,0,0,0,8
2020-02-28,ITA,2,Valle d'Aosta,45.7375029,7.3201494,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,9.0000000,0,0,0,0,0,0,0,9
2020-02-28,ITA,5,Veneto,45.4349049,12.3384521,24.0000000,9.0000000,33.0000000,116.0000000,149,40,0.0000000,2.0000000,151.0000000,7414.0000000,24,9,33,116,0,2,151,7414
2020-02-29,ITA,13,Abruzzo,42.3512220,13.3984382,2.0000000,0.0000000,2.0000000,0.0000000,2,1,0.0000000,0.0000000,2.0000000,43.0000000,2,0,2,0,0,0,2,43
2020-02-29,ITA,17,Basilicata,40.6394705,15.8051483,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,32.0000000,0,0,0,0,0,0,0,32
2020-02-29,ITA,4,P.A. Bolzano,46.4993345,11.3566242,1.0000000,0.0000000,1.0000000,0.0000000,1,0,0.0000000,0.0000000,1.0000000,16.0000000,1,0,1,0,0,0,1,16
2020-02-29,ITA,18,Calabria,38.9059760,16.5944019,0.0000000,0.0000000,0.0000000,1.0000000,1,0,0.0000000,0.0000000,1.0000000,27.0000000,0,0,0,1,0,0,1,27
2020-02-29,ITA,15,Campania,40.8395656,14.2508498,3.0000000,0.0000000,3.0000000,10.0000000,13,9,0.0000000,0.0000000,13.0000000,373.0000000,3,0,3,10,0,0,13,373
2020-02-29,ITA,8,Emilia Romagna,44.4943668,11.3417208,86.0000000,11.0000000,97.0000000,116.0000000,213,70,0.0000000,4.0000000,217.0000000,1550.0000000,86,11,97,116,0,4,217,1550
2020-02-29,ITA,6,Friuli Venezia Giulia,45.6494354,13.7681365,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,189.0000000,0,0,0,0,0,0,0,189
2020-02-29,ITA,12,Lazio,41.8927704,12.4836672,3.0000000,0.0000000,3.0000000,0.0000000,3,3,3.0000000,0.0000000,6.0000000,679.0000000,3,0,3,0,3,0,6,679
2020-02-29,ITA,7,Liguria,44.4114931,8.9326992,4.0000000,1.0000000,5.0000000,,38,19,4.0000000,0.0000000,,121.0000000,4,1,5,5,4,0,20,121
