adm3_name,adm_1_name,pop,state,place
Newcastle CDP,Utah,285.0,49,54330
Beryl Junction CDP,Utah,17.0,49,05380
Summit CDP,Utah,203.0,49,74040
Bluebell CDP,Utah,238.0,49,06590
Silver Summit CDP,Utah,4205.0,49,69280
Snyderville CDP,Utah,6271.0,49,70190
Peoa CDP,Utah,243.0,49,59280
Echo CDP,Utah,103.0,49,21880
Wanship CDP,Utah,484.0,49,81190
Hoytsville CDP,Utah,586.0,49,36730
Marion CDP,Utah,625.0,49,48170
Fremont CDP,Utah,214.0,49,27270
Teasdale CDP,Utah,173.0,49,75470
Mountain Green CDP,Utah,3470.0,49,52460
Enterprise CDP,Utah,870.0,49,23310
Oljato-Monument Valley CDP,Utah,979.0,49,56440
Tselakai Dezza CDP,Utah,106.0,49,77697
Castle Dale city,Utah,1631.0,49,10660
Elmo town,Utah,334.0,49,22540
Elsinore town,Utah,717.0,49,22650
Avon CDP,Utah,199.0,49,02960
Lewiston city,Utah,2006.0,49,44760
Smithfield city,Utah,10832.0,49,69640
Elwood town,Utah,1091.0,49,22760
Tremonton city,Utah,8242.0,49,77120
Centerville city,Utah,17013.0,49,11980
Aneth CDP,Utah,490.0,49,01530
Kaysville city,Utah,30328.0,49,40360
West Bountiful city,Utah,5504.0,49,82840
Roosevelt city,Utah,6771.0,49,64670
Moab city,Utah,5232.0,49,50700
Bluffdale city,Utah,10869.0,49,06810
Holladay city,Utah,30793.0,49,36070
Hatch town,Utah,123.0,49,33760
Sigurd town,Utah,528.0,49,68650
Eureka city,Utah,471.0,49,24080
Manti city,Utah,3420.0,49,47730
Spring City city,Utah,995.0,49,71730
New Harmony town,Utah,186.0,49,54440
Summit Park CDP,Utah,7954.0,49,74095
Fort Duchesne CDP,Utah,685.0,49,26610
Naples city,Utah,2387.0,49,53560
Springdale town,Utah,447.0,49,71840
Junction town,Utah,119.0,49,39590
Cedar Fort town,Utah,329.0,49,11430
Spring Lake CDP,Utah,373.0,49,72170
Ogden city,Utah,85497.0,49,55980
Marysvale town,Utah,563.0,49,48610
Sterling town,Utah,217.0,49,72940
Coalville city,Utah,1808.0,49,14840
Oakley city,Utah,1298.0,49,55650
Rush Valley town,Utah,517.0,49,65240
Vernal city,Utah,10650.0,49,80090
Torrey town,Utah,339.0,49,77010
Hurricane city,Utah,15676.0,49,37170
Washington city,Utah,24231.0,49,81960
Goshen town,Utah,1058.0,49,30130
Lindon city,Utah,10761.0,49,45090
Riverdale city,Utah,8685.0,49,64010
Plain City city,Utah,6343.0,49,60710
Highland city,Utah,17952.0,49,35190
Roy city,Utah,38013.0,49,65110
Toquerville city,Utah,1943.0,49,76900
East Carbon-Sunnyside city,Utah,1475.0,49,21115
Pleasant Grove city,Utah,37439.0,49,60930
Timber Lakes CDP,Utah,545.0,49,76280
Pleasant View city,Utah,9375.0,49,61150
Scofield town,Utah,15.0,49,67990
Helper city,Utah,2031.0,49,34530
Washington Terrace city,Utah,9122.0,49,82070
West Haven city,Utah,12109.0,49,82930
Kingston town,Utah,143.0,49,41350
Riverton city,Utah,41997.0,49,64340
South Jordan city,Utah,65523.0,49,70850
South Salt Lake city,Utah,24722.0,49,71070
West Valley City city,Utah,135546.0,49,83470
Dugway CDP,Utah,411.0,49,20450
Stansbury Park CDP,Utah,9446.0,49,72720
Stockton town,Utah,699.0,49,73050
Lyman town,Utah,395.0,49,46410
Henefer town,Utah,767.0,49,34640
Kamas city,Utah,2126.0,49,39810
Park City city,Utah,8167.0,49,58070
Rockville town,Utah,313.0,49,64560
Virgin town,Utah,542.0,49,80530
Benjamin CDP,Utah,1213.0,49,04720
Draper city,Utah,47043.0,49,20120
Lake Shore CDP,Utah,642.0,49,42230
Palmyra CDP,Utah,430.0,49,57630
Santaquin city,Utah,10740.0,49,67770
Wales town,Utah,386.0,49,80860
South Ogden city,Utah,16918.0,49,70960
West Mountain CDP,Utah,1012.0,49,83252
North Ogden city,Utah,18525.0,49,55100
Manila town,Utah,186.0,49,47620
Mayfield town,Utah,364.0,49,48720
Wellington city,Utah,1520.0,49,82510
