date,adm0_name,adm1_name,adm_level,cumulative_confirmed_cases,cumulative_tests,cumulative_deaths
2020-03-22,USA,Vermont,1,52.0,1158.0,2.0
2020-03-22,USA,Washington,1,1793.0,27121.0,94.0
2020-03-22,USA,Wisconsin,1,385.0,6615.0,4.0
2020-03-22,USA,West Virginia,1,12.0,397.0,0.0
2020-03-22,USA,Wyoming,1,24.0,462.0,
2020-03-21,USA,Alaska,1,14.0,772.0,
2020-03-21,USA,Alabama,1,124.0,152.0,0.0
2020-03-21,USA,Arkansas,1,118.0,685.0,
2020-03-21,USA,American Samoa,1,,,0.0
2020-03-21,USA,Arizona,1,104.0,344.0,1.0
2020-03-21,USA,California,1,1279.0,12528.0,24.0
2020-03-21,USA,Colorado,1,363.0,3680.0,4.0
2020-03-21,USA,Connecticut,1,194.0,2300.0,4.0
2020-03-21,USA,District of Columbia,1,77.0,583.0,1.0
2020-03-21,USA,Delaware,1,45.0,81.0,0.0
2020-03-21,USA,Florida,1,658.0,7237.0,12.0
2020-03-21,USA,Georgia,1,507.0,3064.0,14.0
2020-03-21,USA,Guam,1,15.0,123.0,
2020-03-21,USA,Hawaii,1,37.0,161.0,
2020-03-21,USA,Iowa,1,68.0,1117.0,
2020-03-21,USA,Idaho,1,31.0,911.0,
2020-03-21,USA,Illinois,1,759.0,6247.0,6.0
2020-03-21,USA,Indiana,1,126.0,833.0,4.0
2020-03-21,USA,Kansas,1,55.0,472.0,2.0
2020-03-21,USA,Kentucky,1,54.0,768.0,2.0
2020-03-21,USA,Louisiana,1,585.0,2765.0,16.0
2020-03-21,USA,Massachusetts,1,525.0,5277.0,1.0
2020-03-21,USA,Maryland,1,190.0,284.0,2.0
2020-03-21,USA,Maine,1,73.0,2337.0,
2020-03-21,USA,Michigan,1,787.0,2856.0,5.0
2020-03-21,USA,Minnesota,1,138.0,4090.0,1.0
2020-03-21,USA,Missouri,1,73.0,442.0,3.0
2020-03-21,USA,Northern Marianas,1,0.0,,0.0
2020-03-21,USA,Mississippi,1,140.0,835.0,1.0
2020-03-21,USA,Montana,1,20.0,1166.0,
