date,adm0_name,adm1_name,cum_confirmed_cases,cum_confirmed_cases_imputed,cum_deaths,cum_deaths_imputed
2020-04-09,USA,Rhode Island,1712,1712,43,43
2020-04-10,USA,Rhode Island,2015,2015,49,49
2020-04-11,USA,Rhode Island,2348,2348,56,56
2020-04-12,USA,Rhode Island,2665,2665,63,63
2020-04-13,USA,Rhode Island,2976,2976,73,73
2020-04-14,USA,Rhode Island,3251,3251,80,80
2020-04-15,USA,Rhode Island,3529,3529,87,87
2020-04-16,USA,Rhode Island,3838,3838,105,105
2020-04-17,USA,Rhode Island,4177,4177,118,118
2020-04-18,USA,Rhode Island,4491,4491,137,137
2020-04-19,USA,Rhode Island,4707,4707,150,150
2020-04-20,USA,Rhode Island,5090,5090,155,155
2020-04-21,USA,Rhode Island,5361,5361,171,171
2020-04-22,USA,Rhode Island,5841,5841,181,181
2020-04-23,USA,Rhode Island,6194,6194,189,189
2020-04-24,USA,Rhode Island,6511,6511,202,202
2020-04-25,USA,Rhode Island,6875,6875,215,215
2020-04-26,USA,Rhode Island,7274,7274,226,226
2020-04-27,USA,Rhode Island,7491,7491,233,233
2020-04-28,USA,Rhode Island,7603,7603,239,239
2020-04-29,USA,Rhode Island,8123,8123,251,251
2020-04-30,USA,Rhode Island,8477,8477,266,266
2020-05-01,USA,Rhode Island,8755,8755,279,279
2020-05-02,USA,Rhode Island,9044,9044,296,296
2020-05-03,USA,Rhode Island,9288,9288,320,320
2020-05-04,USA,Rhode Island,9416,9416,341,341
2020-05-05,USA,Rhode Island,10296,10296,355,355
2020-05-06,USA,Rhode Island,10296,10296,370,370
2020-05-07,USA,Rhode Island,10530,10530,388,388
2020-05-08,USA,Rhode Island,10779,10779,399,399
2020-05-09,USA,Rhode Island,10989,10989,418,418
2020-05-10,USA,Rhode Island,11274,11274,422,422
2020-05-11,USA,Rhode Island,11441,11441,430,430
2020-01-22,USA,South Carolina,0,0,0,0
2020-01-23,USA,South Carolina,0,0,0,0
2020-01-24,USA,South Carolina,0,0,0,0
2020-01-25,USA,South Carolina,0,0,0,0
2020-01-26,USA,South Carolina,0,0,0,0
2020-01-27,USA,South Carolina,0,0,0,0
2020-01-28,USA,South Carolina,0,0,0,0
2020-01-29,USA,South Carolina,0,0,0,0
2020-01-30,USA,South Carolina,0,0,0,0
2020-01-31,USA,South Carolina,0,0,0,0
2020-02-01,USA,South Carolina,0,0,0,0
2020-02-02,USA,South Carolina,0,0,0,0
2020-02-03,USA,South Carolina,0,0,0,0
2020-02-04,USA,South Carolina,0,0,0,0
2020-02-05,USA,South Carolina,0,0,0,0
2020-02-06,USA,South Carolina,0,0,0,0
2020-02-07,USA,South Carolina,0,0,0,0
2020-02-08,USA,South Carolina,0,0,0,0
2020-02-09,USA,South Carolina,0,0,0,0
2020-02-10,USA,South Carolina,0,0,0,0
2020-02-11,USA,South Carolina,0,0,0,0
2020-02-12,USA,South Carolina,0,0,0,0
