country,adm0_name,adm1_name,adm2_name,date,susceptible_individuals_no_policy,infectious_individuals_no_policy,recovered_individuals_no_policy,share_of_susceptible_individuals_no_policy,cum_confirmed_cases_no_policy,cum_infections_no_policy,susceptible_individuals_with_policy,infectious_individuals_with_policy,recovered_individuals_with_policy,share_of_susceptible_individuals_with_policy,cum_confirmed_cases_with_policy,cum_infections_with_policy,cases_saved,infections_saved
italy,ITA,Toscana,Pistoia,2020-03-10,291786.1104947287,608.6315106625768,78.25799460872076,0.9976514430211634,28.97956078372875,673.9432740402035,291944.7247953403,465.5635025866312,62.71170207305113,0.9981937641947815,22.499047256787556,523.2336571345944,6.480513526941195,150.7096169056091
italy,ITA,Toscana,Pistoia,2020-03-11,291458.69978305395,870.2397406857945,144.06047626025975,0.9965319868263188,42.57561849756872,990.1306627341563,291813.2522239821,555.9558321841137,103.7919438337558,0.9977442438241552,28.04481957783074,652.2051064611801,14.530798919737979,337.9255562729762
italy,ITA,Toscana,Pistoia,2020-03-12,290970.0843897391,1262.9502656327334,239.96534462820273,0.9948613526367873,62.84027215771812,1461.4016780864679,291645.2338091476,674.1742019751866,153.59198887721868,0.99716976886463915,35.12238286819252,816.7996015858726,27.7178892895256,644.6020765005953
italy,ITA,Toscana,Pistoia,2020-03-13,290274.9881729293,1820.1108539479246,377.90097312274156,0.9924847359343575,91.68554749762058,2132.222034828386,291446.99466455,812.3984515973938,213.6068838526262,0.996491965632896,43.47767439150562,1011.1087067792006,48.20787310611495,1121.1133280491854
italy,ITA,Toscana,Pistoia,2020-03-14,289313.244561534,2586.5844381965276,573.1710002694745,0.9891964200508561,131.64376318550688,3061.48286477923,291221.7052100045,966.2768985580137,285.01789143745555,0.9957216741716484,52.984254290901525,1232.191960253524,78.65950889460535,1829.290904525706
italy,ITA,Toscana,Pistoia,2020-03-15,287810.1346030392,3800.028584230797,862.8368127300055,0.9840571081878984,193.9189113621474,4509.742124701103,290909.78305353376,1190.2621852718057,372.95476119441446,0.9946551751906458,66.1052348033298,1537.3310419379022,127.81367655881762,2972.411082763201
italy,ITA,Toscana,Pistoia,2020-03-16,285862.0387944671,5345.593195028084,1265.3680105048115,0.9773963367369539,274.9281663007589,6393.678286064161,290589.579728221,1406.4869687951689,476.93330298381625,0.9935603619076667,79.62494439513767,1851.7428929101786,195.30322190562123,4541.935393153982
italy,ITA,Toscana,Pistoia,2020-03-17,283126.80726539635,7514.985556289615,1831.2071783140418,0.9680442545650243,388.6759933593031,9038.976589751235,290206.91475463065,1666.0034771173496,600.0817682520137,0.9922519848144296,95.77838198525376,2227.404232215204,292.89761137404935,6811.572357536032
italy,ITA,Toscana,Pistoia,2020-03-18,279258.62645992904,10585.64395590849,2628.7295841624727,0.9548184839623796,549.5124265556498,12779.358757108135,289739.9157456262,1986.2258195326626,746.8584348411532,0.990655259615849,115.48023612320003,2685.5868865860475,434.03219043244974,10093.771870522087
italy,ITA,Toscana,Pistoia,2020-03-19,273679.3313563969,15030.054217918456,3763.6144256846746,0.9357422099010743,781.3403525588704,18170.705873462106,289145.0008147721,2403.584435594256,924.4147496336373,0.988621174654659,140.54494674593093,3268.487133626301,640.7954058129395,14902.218739835806
italy,ITA,Toscana,Pistoia,2020-03-20,266116.79024889995,21011.94790099718,5344.261850102863,0.9098849816868564,1095.9920860405875,25488.188047455526,288445.7967070842,2889.3257747649236,1137.877518150839,0.9862305125843556,170.02116315206342,3953.98053842008,925.9709228885241,21534.207509035445
italy,ITA,Toscana,Pistoia,2020-03-21,256318.51234611293,28665.10310011345,7489.38455377362,0.8763835032502587,1504.5198124661258,34988.83284804944,287654.72995463165,3427.078645649578,1391.1913997187512,0.9835257611972101,203.4103759011737,4730.473858166831,1301.1094365649521,30258.358989882607
italy,ITA,Toscana,Pistoia,2020-03-22,242371.78269290974,39635.72949689849,10465.487810191786,0.8286979744896443,2085.3506665662285,48496.527129447175,287074.7535085617,3728.1787685186446,1670.06772291963,0.981542752693622,228.09243592738463,5304.475254125225,1857.2582306388438,43192.05187532195
italy,ITA,Toscana,Pistoia,2020-03-23,226401.12047671227,51758.78916516384,14313.090358123882,0.7740923793878829,2753.747284601745,64040.63452562198,286615.603180332,3892.8404209542473,1964.5563987137866,0.9799728630688371,247.71966691720937,5760.92248644673,2506.0276176845355,58279.71203917525
italy,ITA,Toscana,Pistoia,2020-03-24,207221.5870295055,66039.70487560616,19211.708094888338,0.7085152715960293,3558.0623738559793,82745.63660130186,286125.6202529147,4074.809527956165,2272.570219129091,0.9782975531174322,268.6588708182258,6247.880716702926,3289.4035030377536,76497.75588459893
italy,ITA,Toscana,Pistoia,2020-03-25,185025.13046620286,82150.14443352098,25297.725100276177,0.6326229445665168,4490.967885731001,104441.1136216512,285583.4023442177,4293.156765519372,2596.440890262951,0.9764436455475127,291.8130679333503,6786.3504170546585,4199.154817797651,97654.76320459653
italy,ITA,Toscana,Pistoia,2020-03-26,160183.90279720072,99611.69811372187,32677.39908907743,0.5476878303200662,5537.396968869874,128776.67369464826,284940.6518982749,4591.022725162399,2941.325376562716,0.9742460052663832,319.2155309626687,7423.616999131831,5218.181437907206,121353.05669551642
