date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200514,TN,16699.0,285618.0,,,1435.0,,,,,8881.0,A,5/14/2020 15:00,a344fd94720a960c94d1d106287801b03dcfeb48,2020-05-14T20:00:00Z,287.0,1435.0,302317,302317,302317,47,14.0,47.0,9071.0,329.0,9400.0
20200514,TX,43851.0,579433.0,,1648.0,,,,,,24487.0,A,5/14/2020 16:30,079503d0ff0282cf02e23eafef7222e841c55677,2020-05-14T20:00:00Z,1216.0,,623284,623284,623284,48,58.0,0.0,34405.0,1448.0,35853.0
20200514,UT,6749.0,153370.0,,142.0,558.0,,187.0,,83.0,3566.0,B,5/14/2020 10:07,1eed6f28aaf2ab2567abde09ec15967882cb73e1,2020-05-14T20:00:00Z,75.0,558.0,160119,160119,160119,49,0.0,5.0,3204.0,129.0,3333.0
20200514,VA,27813.0,139017.0,496.0,1533.0,5211.0,355.0,,201.0,,3678.0,A+,5/13/2020 17:00,d718e85fd7b1a662fb8937f10ee43e938f3a6b7b,2020-05-14T20:00:00Z,955.0,5211.0,167326,166830,166830,51,28.0,131.0,4371.0,1067.0,5438.0
20200514,VI,69.0,1164.0,45.0,,,,,,,61.0,C,5/13/2020 17:44,eee09f56f69f7871409f2796d76ea56209e3ba46,2020-05-14T20:00:00Z,6.0,,1278,1233,1233,78,0.0,0.0,36.0,0.0,36.0
20200514,VT,932.0,21573.0,,18.0,,,,,,792.0,B,5/14/2020 00:00,55ca549126a7637b60fdde3005f1a6dcd8e5299f,2020-05-14T20:00:00Z,53.0,,22505,22505,22505,50,0.0,0.0,826.0,3.0,829.0
20200514,WA,17512.0,243568.0,,365.0,,111.0,,,,,A,5/13/2020 02:59,d1f39de13136bf5f93df0615033061686ddb3657,2020-05-14T20:00:00Z,975.0,,261080,261080,261080,53,13.0,0.0,4577.0,182.0,4759.0
20200514,WI,11275.0,122598.0,169.0,507.0,1939.0,121.0,478.0,,,5994.0,A+,5/14/2020 00:00,e1da001e0870bc0c814799abcd939f859c6f3ab0,2020-05-14T20:00:00Z,434.0,1939.0,134042,133873,133873,55,13.0,31.0,5487.0,373.0,5860.0
20200514,WV,1427.0,67286.0,,52.0,,9.0,,5.0,,870.0,B,5/14/2020 10:00,fb56528146ff63b89433d64c35bc8b8a230cd901,2020-05-14T20:00:00Z,60.0,,68713,68713,68713,54,2.0,0.0,2004.0,29.0,2033.0
20200514,WY,701.0,14729.0,,8.0,67.0,,,,,480.0,B,5/14/2020 00:00,2c39ee8aebd346ddf047dcd3185f744bc00855e1,2020-05-14T20:00:00Z,7.0,67.0,15430,15430,15430,56,0.0,0.0,345.0,26.0,371.0
20200513,AK,383.0,30266.0,,12.0,,,,,,338.0,B,5/13/2020 00:00,f0aa4fdcbcf8798aa196f83b3272544e5c3a941d,2020-05-13T20:00:00Z,10.0,,30649,30649,30649,2,0.0,0.0,688.0,0.0,688.0
20200513,AL,10617.0,125755.0,,,1317.0,,477.0,,284.0,,B,5/13/2020 00:00,0c929ad796f110118adce3c056060cecf4cde550,2020-05-13T20:00:00Z,449.0,1317.0,136372,136372,136372,1,20.0,30.0,2847.0,307.0,3154.0
20200513,AR,4164.0,69051.0,,59.0,497.0,,,12.0,99.0,3220.0,A,5/12/2020 18:33,72af1969cef24d39d08a6be137b8ef56f633511c,2020-05-13T20:00:00Z,95.0,497.0,73215,73215,73215,5,0.0,12.0,2771.0,0.0,2771.0
20200513,AS,0.0,105.0,,,,,,,,,C,5/10/2020 00:00,bcf6d9f15e8b1e7a68106b63798a38260000149f,2020-05-13T20:00:00Z,0.0,,105,105,105,60,0.0,0.0,0.0,0.0,0.0
20200513,AZ,12176.0,115574.0,,755.0,1590.0,292.0,,191.0,,2979.0,A+,5/13/2020 00:00,b76df3dfb275ebcb96fcfa48e0f5062f241055d6,2020-05-13T20:00:00Z,594.0,1590.0,127750,127750,127750,4,32.0,26.0,4468.0,440.0,4908.0
20200513,CA,71141.0,994451.0,,4545.0,,1314.0,,,,,B,5/13/2020 00:00,8a5867cd4322367e6ab3f8a0fb2b92285aa60b64,2020-05-13T20:00:00Z,2934.0,,1065592,1065592,1065592,6,87.0,0.0,30463.0,1759.0,32222.0
20200513,CO,20157.0,91093.0,,688.0,3695.0,,,,,3171.0,A,5/13/2020 00:00,b10a2dc4f099271a164069f778a35c52ad302d5a,2020-05-13T20:00:00Z,1009.0,3695.0,111250,111250,111250,8,22.0,32.0,2315.0,278.0,2593.0
20200513,CT,34855.0,108088.0,,1158.0,9389.0,,,,,5413.0,B,5/13/2020 14:00,9f64d067c58a26177100ab576630d39d10b4e1c2,2020-05-13T20:00:00Z,3125.0,9389.0,142943,142943,142943,9,84.0,0.0,3997.0,522.0,4519.0
20200513,DC,6584.0,25074.0,,423.0,,,,82.0,,934.0,A,5/12/2020 00:00,60a5a8205ad106c17df8430de9ec79ec988d13bc,2020-05-13T20:00:00Z,350.0,,31658,31658,31658,11,14.0,0.0,509.0,99.0,608.0
