adm0_name,adm1_name,adm1_pop_weight,adm2_name,adm3_name,date,policy,travel_ban_country_list,no_gathering_size,Optional,Notes,source,access_date
USA,CO,1,all,all,3/2/20,travel_ban_local,NA,NA,Y,"In response to new coronavirus cases, Governor Polis announced that the state has raised its emergency preparedness level to level 2, with 10 state agencies having a representative available for contact at all hours of the day.",https://www.cpr.org/2020/03/05/colorado-coronavirus-case-is-states-first-positive-health-officials-say/,3/17/20
USA,CO,1,all,all,3/10/20,emergency_declaration,NA,NA,NA,state of emergency,https://www.colorado.gov/governor/news/gov-polis-provides-update-states-response-covid-19,3/17/20
USA,CO,1,all,all,3/13/20,no_gathering,NA,250,N,"guidance for large gatherings, recommending canceling or postponing any events with more than 250 people unless there are steps taken to ensure a distance of at least six feet between smaller parties at the event. The Governor’s update also highlighted the following actions:",https://www.colorado.gov/governor/news/governor-polis-provides-update-states-response-covid-19,3/17/20
USA,CO,1,all,all,3/14/20,social_distance,NA,NA,N,"The Governor and the Colorado Department of Public Health and Environment is restricted all visitors at skilled nursing, assisted living, and intermediate care facilities to protect the health of the residents and health care workers at those facilities.",https://www.colorado.gov/governor/news/state-health-department-restricts-visitors-skilled-nursing-assisted-living-and-intermediate,3/17/20
USA,CO,1,all,all,3/16/20,business_closure,NA,NA,N,"a public health order to close bars, restaurants, gyms, theaters, and casinos to slow the spread of COVID-19, effective at 8:00 AM on March 17 for the duration of 30 days.",https://www.colorado.gov/governor/news/state-health-department-issues-public-health-order-closing-colorado-bars-restaurants-gyms,3/17/20
USA,CT,0.03673342,Mason,New Haven,3/13/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CT,0.02484847,Monroe,Norwalk,3/16/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CT,0.0147426,Marathon,Stratford,3/11/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CT,0.01468703,Sussex,Milford,3/11/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CT,0.01311984,New Castle,Middletown,3/12/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CT,0.00779579,Grays Harbor,Westport,3/12/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CT,0.00610203,Walworth,Darien,3/12/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CT,0.00376051,Washington,Greenwich,3/9/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,CT,1,all,all,3/16/20,no_gathering,NA,50,N,These uniform standards will limit crowd capacity for social and recreational gatherings to 50 people effective 8PM tonight.,https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Northeast-Governors-From-Connecticut-New-York-New-Jersey-Announce-Collective-Measures,3/17/20
USA,CT,1,all,all,3/16/20,business_closure,NA,NA,N,"Bars that do not serve food will be required to temporarily close. These measures will take effect at 8PM tonight. Temporarily close movie theaters, gyms and fitness centers, and similar public workout facilities and studios.",https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Northeast-Governors-From-Connecticut-New-York-New-Jersey-Announce-Collective-Measures,3/17/20
