adm0_name,adm1_name,latitude,longitude,name_alt,area_km2,population,pop_density_km2
UGA,Lira,2.23366,32.9139,,1394.6013126429623,,
UGA,Luuka,0.738246,33.3432,,901.4967183444338,,
UGA,Luweero,0.796763,32.5615,,2116.7328852056703,,
UGA,Lwengo,-0.421045,31.433,,1244.3494467786575,,
UGA,Lyantonde,-0.269997,31.1783,,1002.7042480934778,,
UGA,Manafwa,0.886597,34.312,Bubuulo|Manafa,589.8469683825841,,
UGA,Maracha,3.2292,30.9101,,555.1145253247145,,
UGA,Masaka,-0.43198,31.8532,,1994.043151677842,,
UGA,Masindi,1.66477,31.735,,4250.358885798966,,
UGA,Mayuge,0.277049,33.5556,,3812.0487550873627,,
UGA,Mbale,1.03446,34.2131,,539.8585840272484,,
UGA,Mbarara,-0.534736,30.5341,,1845.6140861128283,,
UGA,Mitooma,-0.636828,30.0476,,505.28000802237733,,
UGA,Mityana,0.42844,32.0449,,1569.3876973537904,,
UGA,Moroto,2.67,34.712,,2310.8290347024877,,
UGA,Moyo,3.62202,31.7226,,1681.0983422272607,,
UGA,Mpigi,-0.00825711,32.0899,,1687.1620110180477,,
UGA,Mubende,0.58882,31.4889,,4977.637884351855,,
UGA,Mukono,0.304604,32.8051,,2585.833537800032,,
UGA,Nakapiripirit,1.76261,34.6179,,4338.003847579266,,
UGA,Nakaseke,1.10855,32.1561,,3467.8353723774535,,
UGA,Nakasongola,1.36245,32.3765,,3648.678084832956,,
UGA,Namayingo,0.246262,33.8049,,4587.939457042878,,
UGA,Namutumba,0.877569,33.6846,,802.9556403533494,,
UGA,Napak,2.42782,34.3004,,6056.795185398447,,
UGA,Nebbi,2.44381,31.2582,,2208.9558860544716,,
UGA,Ngora,1.51075,33.7704,,644.729748925781,,
UGA,Ntoroko,1.02038,30.3756,,1410.9393807269169,,
UGA,Ntungamo,-0.976405,30.3139,,1927.7206645739734,,
UGA,Nwoya,2.57094,31.8584,,4557.975437288272,,
UGA,Otuke,2.47637,33.3294,,1622.1189885916688,,
UGA,Oyam,2.37882,32.5298,,2123.728239178285,,
UGA,Pader,2.87543,32.8933,,3672.7003759816616,,
UGA,Pallisa,1.18799,33.688,,1116.999121730776,,
UGA,Rakai,-0.753019,31.5253,,3917.3599425179464,,
UGA,Rubirizi,-0.269997,29.9095,,1642.7385508987472,,
UGA,Rukungiri,-0.710038,29.9095,,1823.2904356000486,,
UGA,Sembabule,0.0246698,31.3783,Ssembabule,2389.2360720767724,,
UGA,Serere,1.50212,33.4424,,1612.9867299651173,,
UGA,Sheema,-0.636828,30.3454,,546.5303597158346,,
UGA,Sironko,1.15945,34.3234,,404.37943862554266,,
UGA,Soroti,1.73376,33.5911,,1421.3194355671696,,
UGA,Tororo,0.737709,34.0805,,1185.2971762734028,,
UGA,Wakiso,0.197333,32.4268,,2488.3445300903722,,
UGA,Yumbe,3.52312,31.2996,,2715.2853722211257,,
UGA,Zombo,2.54111,30.9019,,1086.2054369754228,,
UKR,Cherkasy,49.1506,31.2241,Cherkas'ka Oblast'|Cherkasskaya Oblast'|Cherkassy,49747.969431303194,,
UKR,Chernihiv,51.2597,32.0287,Chernigov|Tschernigow,81133.1414364469,,
UKR,Chernivtsi,48.2892,26.2156,Chernivets'ka Oblast'|Chernovitskaya Oblast'|Chernovtsy|Czernowitz|Tschernowzy|Tchernovtsy,18335.514696568185,,
UKR,Dnipropetrovs'k,48.6313,34.9555,Dnipropetrovsk|Dniepropietrovsk|Dnjepropetrowsk,71634.60739144441,,
UKR,Donets'k,48.145,37.7933,Donetsk|Donetskaya Oblast'|Donezk|Stalino,59303.79226209278,,
UKR,Ivano-Frankivs'k,48.665,24.6363,Ivano-Frankovsk|Ivano-Frankovskaya Oblast'|Stanislav,31794.028284435015,,
UKR,Kharkiv,49.4655,36.4612,Charkow|Jarkov|Karkov|Khar'kov,74467.79400743662,,
UKR,Kherson,46.6964,33.5787,,55394.56185542122,,
UKR,Khmel'nyts'kyy,49.5537,27.0187,Khmelnitsky|Khmelnytskyi|Chmelnizkij|Hmelnicki|Kamenets-Podol'skaya Oblast'|Khmel'nyts'ka Oblast',48328.755114050844,,
UKR,Kiev,50.0894,31.0214,Kiev Oblast|Kiew|Kijew|Kiiv|Kijev|Kiyev|Kyiv|Kyjiv|Kyyiv|Kyyivs'ka Oblast',65931.4108941737,,
UKR,Kiev City,50.383,30.5277,Kyïvs'ka mis'ka rada,4028.791462694974,,
UKR,Kirovohrad,48.4261,31.8288,Kirovograd|Kirovogradskaya Oblast',55491.42536193453,,
UKR,L'viv,49.8152,24.0372,Lemberg|Llvov|L'vov|Lwow|L'vivs'ka Oblast',52125.87331286654,,
UKR,Luhans'k,48.9084,39.0033,Luhansk|Lugansk|Luhans'ka Oblast'|Voroshilovgrad,60846.441508744254,,
UKR,Mykolayiv,47.0902,31.6498,Mykolaiv|Nikolajew|Nikolayev,51305.657772433755,,
UKR,Odessa,46.0315,29.7568,Odesa|Odes'ka Oblast'|Odesskaya Oblast',70392.33265747766,,
UKR,Poltava,49.6978,33.7723,,67672.98989288433,,
UKR,Rivne,51.048,26.3841,Rovno|Rivnens'ka Oblast'|Rovenskaya Oblast',51127.13879621509,,
UKR,Sumy,50.8153,34.3159,,59162.3966909554,,
UKR,Ternopil',49.4739,25.5438,Ternopol|Ternopol',32896.05067628785,,
UKR,Transcarpathia,48.3634,23.3868,Transcarpathian|Zakarpattia|Ruthenia|Zakarpats'ka Oblast'|Zakarpatskaya Oblast',29322.190314046715,,
UKR,Vinnytsya,48.9623,28.7233,Vinnytsia|Vinnitskaya Oblast'|Vinnyts'ka Oblast|Winniza,61495.95106317916,,
UKR,Volyn,51.1247,24.8444,Volhynia|Volyns'ka Oblast'|Volynskaya Oblast'|Wolynien,50308.806384624535,,
UKR,Zaporizhzhya,47.3346,35.7123,Saporoshje|Zaporizhia|Zaporiz'ka Oblast'|Zaporojie|Zaporozhskaya Oblast'|Zaporozh'ye|Zaporožje,58602.43564493797,,
